,Image,Accuracy,F1,Jaccard,Recall,Precision
0,data\images\000097.tif,0.9900625723379629,0.935463033648482,0.8787511032656664,0.9436085771827982,0.9274569166278528
1,data\images\000204.tif,0.9869038146219136,0.9453369733415528,0.8963402996469129,0.9514777015220199,0.939275
2,data\images\000114.tif,0.9896074459876543,0.9368359346376494,0.8811772003583982,0.9313761200553653,0.9423601385715339
3,data\images\000210.tif,0.9837390287422839,0.9287779376625435,0.8670265207532288,0.9384287048152594,0.9193236462471253
4,data\images\000035.tif,0.9913586275077161,0.9286727204876228,0.8668431563791742,0.936148868937152,0.9213150360351466
5,data\images\000131.tif,0.9890799816743827,0.9336337491527907,0.8755282234514035,0.9182099877495136,0.9495845288221485
6,data\images\000029.tif,0.9868736738040124,0.8984019596407327,0.8155442609063956,0.9011138150505429,0.8957063776340884
7,data\images\000191.tif,0.9832989728009259,0.9285041483335699,0.866549456901327,0.9237009652906141,0.9333575449428001
8,data\images\000217.tif,0.9876754195601852,0.9482778248605436,0.9016428932239675,0.9455627869431411,0.951008499302296
9,data\images\000202.tif,0.9841700424382716,0.934106192913781,0.8763595272847121,0.9278664007976072,0.9404304769603881
10,data\images\000133.tif,0.9817919319058642,0.8844380679100909,0.7928184374785651,0.8947938842655313,0.8743192133131619
11,data\images\000001.tif,0.991406852816358,0.938868280549778,0.8847801487229228,0.9372404640609615,0.940501761319701
12,data\images\000092.tif,0.9908884307484568,0.9322607390144979,0.8731164742917104,0.9221971006782816,0.942546443135478
13,data\images\000194.tif,0.9837420428240741,0.9305577012204542,0.8701336222462983,0.9288119040888181,0.9323100735199278
14,data\images\000079.tif,0.9903700086805556,0.9350438123894526,0.8780115306784774,0.9456369767250596,0.9246853512405002
15,data\images\000078.tif,0.9828227478780864,0.8917671636121925,0.8046749151729101,0.8599684993223692,0.9260077305356157
16,data\images\000107.tif,0.9884229118441358,0.9340906361000051,0.8763321420522232,0.9416038192762748,0.92669640121208
17,data\images\000143.tif,0.9880039544753086,0.9462104011244459,0.897912070999846,0.9509399108986201,0.9415277030661646
18,data\images\000174.tif,0.9874825183256173,0.9419574848709312,0.890283208284899,0.9405246999720904,0.9433946418073402
19,data\images\000135.tif,0.9892758969907407,0.935813248665031,0.8793693846414646,0.9256272081653046,0.9462259676772099
20,data\images\000026.tif,0.9924768518518519,0.9411126315292785,0.8887750100262911,0.9495810321843459,0.9327939388270508
21,data\images\000127.tif,0.9879497010030864,0.9280028813254098,0.865676656363392,0.9127816352557744,0.9437403853197568
22,data\images\000083.tif,0.9864396460262346,0.9059357293692111,0.8280461703103501,0.9119417434861304,0.900008308408109
